"State","Age","Income","Price","Sales"
"AL",27,2948,42.7,89.8
"AK",22.9,4644,41.8,121.3
"AZ",26.3,3665,38.5,115.2
"AR",29.1,2878,38.8,100.3
"CA",28.1,4493,39.7,123
"CO",26.2,3855,31.1,124.8
"CT",29.1,4917,45.5,120
"DC",28.4,5079,32.6,200.4
"FL",32.3,3738,43.8,123.6
"GA",25.9,3354,35.8,109.9
"HI",25,4623,36.7,82.1
"ID",26.4,3290,33.6,102.4
"IL",28.6,4507,41.4,124.8
"IN",27.2,3772,32.2,134.6
"IO",28.8,3751,38.5,108.5
"KA",28.7,3853,38.9,114
"KY",27.5,3112,30.1,155.8
"LA",24.8,3090,39.3,115.9
"ME",28,3302,38.8,128.5
"MD",27.1,4309,34.2,123.5
"MA",29,4340,41,124.3
"MN",26.8,3859,40.1,104.3
"MS",25.1,2626,37.5,93.4
"MT",27.1,3500,34.7,111.2
"NB",28.6,3789,34.7,108.1
"NV",27.8,4563,44,189.5
"NH",28,3737,34.1,265.7
"NJ",30.1,4701,41.7,120.7
"NM",23.9,3077,41.7,90
"NY",30.3,4712,41.7,119
"ND",26.4,3086,38.9,93.8
"OH",27.7,4020,38.1,121.6
"OK",29.4,3387,39.8,108.4
"OR",29,3719,29,157
"PA",30.7,3971,44.7,107.3
"RI",29.2,3959,40.2,123.9
"SD",27.4,3123,38.5,92.7
"TN",28.1,3119,41.6,99.8
"TX",26.4,3606,42,106.4
"UT",23.1,3227,36.6,65.5
"VT",26.8,3468,39.5,122.6
"VA",26.8,3712,30.2,124.3
"WA",27.5,4053,40.3,96.7
"WV",30,3061,41.6,114.5
"WI",27.2,3812,40.2,106.4
"WY",27.2,3815,34.4,132.2
