"country","medgdpg","pop13","eti"
"Albania",1.3,2.79,4
"Algeria",3.3,37.9,3.2
"Angola",5.19,20.82,2.8
"Argentina",1.9,41.49,3.7
"Armenia",4.26,3.29,4.3
"Australia",2.62,23.21,4.9
"Austria",0.87,8.48,5
"Azerbaijan",4.96,9.31,3.9
"Bahrain",4.69,1.17,4.6
"Bangladesh",6.01,156.3,3.4
"Belgium",0.25,11.16,4.9
"Benin",5.48,10.32,3.1
"Bhutan",6.35,0.75,3.5
"Bolivia",5.18,11.04,3.7
"Bosnia and Herzegovina",1.2,3.88,3.9
"Botswana",4.1,2.08,3.7
"Brazil",1.82,198.29,3.8
"Bulgaria",0.86,7.24,4
"Burkina Faso",6.79,16.8,2.9
"Burundi",4.47,8.99,3
"Cambodia",7.24,15.41,3.7
"Cameroon",4.65,21.99,3.2
"Canada",2.01,35.11,5
"Chad",8.88,11.01,2.5
"Chile",4.23,17.56,5.1
"China",7.65,1360.76,4.3
"Colombia",4.27,47.15,4
"Costa Rica",3.8,4.76,4.4
"Cote d'Ivoire",8.16,24.07,3.3
"Croatia",-1,4.28,4.2
"Cyprus",-4.76,0.88,4.4
"Czech Republic",-0.87,10.52,4.4
"Denmark",0.43,5.59,5
"Dominican Republic",4.09,10.42,3.9
"Ecuador",4.24,15.78,4.1
"Egypt",2.22,84.15,3.6
"El Salvador",1.6,6.33,4
"Estonia",2.36,1.29,4.8
"Ethiopia",8.55,88.85,3.2
"Finland",-1.01,5.45,5.2
"France",0.27,63.66,4.9
"FYR Macedonia",3.1,2.07,4.1
"Gabon",5.74,1.56,3.1
"Georgia",4.99,4.48,4.5
"Germany",0.9,80.8,5.1
"Ghana",5.45,25.56,3.6
"Greece",-3.86,11.06,4
"Guatemala",3.5,15.48,4.1
"Guinea",3.81,11.13,2.9
"Guyana",4.8,0.8,3.6
"Haiti",4,10.32,3.1
"Honduras",3,8.1,3.8
"Hong Kong SAR",2.94,7.24,5.5
"Hungary",1.11,9.88,4.3
"Iceland",2.68,0.32,4.9
"India",4.74,1243.34,3.6
"Indonesia",5.78,247.95,4.2
"Ireland",0.16,4.78,4.8
"Islamic Republic of Iran",-1.67,77.1,3
"Israel",3.33,7.87,4.7
"Italy",-1.85,59.69,4.3
"Jamaica",0.5,2.78,3.9
"Japan",1.45,127.34,5.1
"Jordan",3.25,6.54,4.4
"Kazakhstan",5.67,17.16,3.7
"Kenya",5.56,44.35,3.7
"Korea",2.78,50.22,4.7
"Kuwait",2.56,3.89,4
"Kyrgyz Republic",4.42,5.64,3.5
"Lao P.D.R.",7.87,6.77,3.6
"Latvia",4.11,2.04,4.4
"Lebanon",1,4.47,3.8
"Lesotho",5.78,1.91,3.5
"Liberia",7.97,4.08,3.1
"Libya",-7.81,6.12,3.5
"Lithuania",3.31,2.97,4.4
"Luxembourg",1.96,0.54,5.1
"Madagascar",2.51,22.97,3.6
"Malawi",4.97,17.11,3.5
"Malaysia",5.2,29.62,4.8
"Mali",1.73,16.85,3.1
"Malta",1.83,0.42,4.6
"Mauritania",6.83,3.72,3
"Mauritius",3.29,1.3,4.7
"Mexico",2.99,118.4,4.1
"Moldova",3.5,3.56,3.7
"Mongolia",12.4,2.9,3
"Montenegro",2.82,0.62,4.3
"Morocco",3.91,32.85,4.4
"Mozambique",7.25,25.86,3.5
"Myanmar",7.5,64.93,3.2
"Namibia",4.31,2.17,3.9
"Nepal",4.53,27.92,3.3
"Netherlands",-0.81,16.8,5.3
"New Zealand",2.58,4.48,5.2
"Nicaragua",4.2,6.13,4
"Nigeria",6.58,169.28,3.1
"Norway",1.79,5.1,5.1
"Oman",4.99,3.19,4.7
"Pakistan",3.62,182.59,3.5
"Panama",8,3.72,4.3
"Paraguay",4.8,6.8,3.5
"Peru",5.52,30.95,4.3
"Philippines",6.82,97.48,4.1
"Poland",1.94,38.53,4.3
"Portugal",-1.35,10.61,4.5
"Qatar",6.13,2.02,4.9
"Romania",2.24,21.29,3.9
"Russia",1.33,142.93,3.5
"Rwanda",7.5,10.64,4.1
"Saudi Arabia",4.09,29.99,4.3
"Senegal",4.05,14.13,3.6
"Serbia",0.98,7.2,3.7
"Singapore",3.63,5.4,5.9
"Slovak Republic",1.8,5.41,4.3
"Slovenia",-1.11,2.06,4.4
"South Africa",2.34,52.98,4.2
"Spain",-1.22,46.61,4.8
"Sri Lanka",7,20.82,3.8
"Sweden",1.53,9.64,5.1
"Switzerland",1.96,8,5.2
"Taiwan Province of China",2.11,23.37,4.9
"Tanzania",6.96,46.28,3.5
"Thailand",2.87,68.23,4.2
"The Gambia",6.35,1.88,3.6
"Tunisia",3,10.92,3.9
"Turkey",2.27,76.48,4.3
"Uganda",6.03,36.82,3.6
"Ukraine",0.1,45.37,3.8
"United Arab Emirates",4.37,9.03,5
"United Kingdom",1.76,64.09,5.2
"United States",2.77,316.37,5
"Uruguay",3.94,3.39,4.2
"Venezuela",1,29.99,2.8
"Vietnam",5.42,89.69,4
"Yemen",4.4,26.66,3
"Zambia",7.25,14.54,3.7
"Zimbabwe",4.24,13.12,2.9
